feature,mean_shap,mean_abs_shap
z_log_acled_protests_events_roll3m,-0.0017116788,0.0017116788
z_log_sipri_milex_constant_2023_usd_millions_lag12,-0.0016864418,0.0016864418
z_log_acled_population_exposure_sum_lag1,0.001359745,0.001359745
z_log_acled_strategic_developments_fatalities_roll12m,0.001313802,0.001313802
z_acled_protests_fatalities_roll12m,-0.0012760436,0.0012760436
z_acled_explosions_remote_violence_fatalities_roll3m,-0.0012731951,0.0012731951
z_wdi_military_expenditure_pct_of_gdp_lag12,-0.0012593108,0.0012593108
z_acled_violence_against_civilians_fatalities_lag6,0.0012438172,0.0012438172
z_acled_admin1_count_roll6m,-0.0012053297,0.0012053297
z_wdi_government_expense_pct_gdp_roll12m,-0.0011484871,0.0011484871
z_acled_violence_against_civilians_events_lag3,0.0011412324,0.0011412324
z_log_acled_total_fatalities_roll3m,-0.001138376,0.001138376
z_acled_battles_fatalities_lag1,0.00092942745,0.0011379328
z_vdem_egalitarian_democracy_index_lag1,-0.00017363856,0.0011232921
z_sipri_milex_share_of_gdp_pct_lag12,0.0010612886,0.0010612886
z_log_wdi_military_expenditure_pct_of_gdp_roll12m,0.0010246226,0.0010246226
z_log_sipri_milex_constant_2023_usd_millions_roll12m,-0.0010061384,0.0010061384
z_sipri_milex_share_of_gdp_pct_roll12m,0.001002781,0.001002781
z_acled_political_violence_fatalities_roll6m,-0.0010022671,0.0010022671
z_vdem_participatory_democracy_index_lag3,0.0009960653,0.0009960653
z_wdi_gdp_growth_annual_pct_delta12m,-0.000971794,0.000971794
z_log_wdi_external_debt_stocks_pct_gni_lag6,-0.0009318654,0.0009318654
z_acled_protests_events_roll12m,0.0008674609,0.0008674609
z_wdi_gdp_per_capita_growth_annual_pct_lag1,-0.0008604581,0.0008604581
z_wdi_commercial_service_exports_current_usd_lag12,-0.0008135619,0.0008135619
z_acled_riots_fatalities_roll6m,0.0007789999,0.0007789999
z_acled_riots_events_delta3m,0.0007213302,0.0007213302
z_wdi_international_migrant_stock_pct_population_lag3,-0.00070848357,0.00070848357
z_vdem_electoral_democracy_index_lag1,-0.00065286696,0.00065286696
z_wdi_military_expenditure_pct_of_gdp_roll12m,0.0006184073,0.0006184073
z_wdi_external_debt_stocks_pct_gni_lag3,-0.0006103726,0.0006103726
z_vdem_liberal_democracy_index_lag1,-0.00059100083,0.00059100083
z_wdi_commercial_service_imports_current_usd_lag3,0.0005425655,0.0005425655
z_log_wdi_international_migrant_stock_pct_population_roll6m,-0.00052119367,0.00052119367
z_acled_protests_fatalities_lag1,-0.00042684958,0.00042684958
z_acled_political_violence_events_roll6m,-0.00030839525,0.00030839525
z_acled_violence_against_civilians_events_lag6,0.00030717303,0.00030717303
z_acled_total_events_delta6m,-3.208626e-05,0.00029380576
z_acled_riots_events_lag3,0.00022931614,0.00022931614
z_sipri_milex_share_of_gdp_pct_lag1,0.00019648578,0.00019648578
z_sipri_milex_constant_2023_usd_millions_lag1,0.00019067849,0.00019067849
z_wdi_employment_to_population_ratio_15plus_total_pct_lag6,0.00017521481,0.00017521481
z_wdi_fuel_exports_pct_merchandise_exports,0.00016738624,0.00016738624
z_wdi_fuel_exports_pct_merchandise_exports_lag1,0.000114260176,0.000114260176
z_acled_population_exposure_sum_lag12,-4.771441e-05,5.482901e-05
z_wdi_central_government_debt_pct_gdp_delta12m,-1.6915787e-05,1.6915787e-05
z_vdem_deliberative_democracy_index_lag12,0.0,0.0
z_vdem_egalitarian_democracy_index_lag3,0.0,0.0
z_vdem_egalitarian_democracy_index_lag12,0.0,0.0
z_ucdp_type_of_conflict_max_lag6,0.0,0.0
z_ucdp_type_of_conflict_max_lag12,0.0,0.0
z_vdem_electoral_democracy_index_lag6,0.0,0.0
z_vdem_liberal_democracy_index_lag3,0.0,0.0
z_acled_violence_against_civilians_events_lag12,0.0,0.0
z_acled_battles_fatalities_lag3,0.0,0.0
z_acled_battles_fatalities_lag6,0.0,0.0
z_acled_battles_fatalities_lag12,0.0,0.0
z_acled_explosions_remote_violence_fatalities_lag1,0.0,0.0
z_acled_explosions_remote_violence_fatalities_lag3,0.0,0.0
z_acled_explosions_remote_violence_fatalities_lag6,0.0,0.0
z_acled_explosions_remote_violence_fatalities_lag12,0.0,0.0
z_sipri_milex_share_of_gdp_pct_lag6,0.0,0.0
z_sipri_milex_per_capita_constant_2023_usd_lag1,0.0,0.0
z_sipri_milex_per_capita_constant_2023_usd_lag6,0.0,0.0
z_sipri_milex_per_capita_constant_2023_usd_lag12,0.0,0.0
z_wdi_central_government_debt_pct_gdp_lag1,0.0,0.0
z_wdi_central_government_debt_pct_gdp_lag3,0.0,0.0
z_wdi_central_government_debt_pct_gdp_lag6,0.0,0.0
z_wdi_central_government_debt_pct_gdp_lag12,0.0,0.0
z_wdi_commercial_service_exports_current_usd_lag1,0.0,0.0
z_wdi_commercial_service_exports_current_usd_lag3,0.0,0.0
z_wdi_commercial_service_imports_current_usd_lag1,0.0,0.0
z_wdi_commercial_service_imports_current_usd_lag6,0.0,0.0
z_wdi_commercial_service_imports_current_usd_lag12,0.0,0.0
z_wdi_external_debt_stocks_pct_gni_lag1,0.0,0.0
z_wdi_external_debt_stocks_pct_gni_lag12,0.0,0.0
z_wdi_forcibly_displaced_people_lag3,0.0,0.0
z_wdi_forcibly_displaced_people_lag6,0.0,0.0
z_wdi_fuel_exports_pct_merchandise_exports_lag3,0.0,0.0
z_wdi_fuel_exports_pct_merchandise_exports_lag6,0.0,0.0
z_wdi_fuel_imports_pct_merchandise_imports_lag1,0.0,0.0
z_wdi_fuel_imports_pct_merchandise_imports_lag3,0.0,0.0
z_wdi_gdp_growth_annual_pct_lag3,0.0,0.0
z_wdi_gdp_growth_annual_pct_lag6,0.0,0.0
z_wdi_gdp_growth_annual_pct_lag12,0.0,0.0
z_wdi_gdp_per_capita_growth_annual_pct_lag6,0.0,0.0
z_wdi_gdp_per_capita_growth_annual_pct_lag12,0.0,0.0
z_wdi_government_expense_pct_gdp_lag1,0.0,0.0
z_wdi_government_expense_pct_gdp_lag12,0.0,0.0
z_wdi_international_migrant_stock_pct_population_lag1,0.0,0.0
z_wdi_international_migrant_stock_pct_population_lag6,0.0,0.0
z_wdi_international_migrant_stock_pct_population_lag12,0.0,0.0
z_wdi_military_expenditure_pct_of_gdp_lag1,0.0,0.0
z_wdi_military_expenditure_pct_of_gdp_lag6,0.0,0.0
z_acled_total_events_roll3m,0.0,0.0
